Date,Open,High,Low,Last,Close,Quantity,Turnover
1/19/2017,2295,2295.15,2282.95,2290,2291,1125838,25774.01
1/18/2017,2278,2298,2265.45,2295,2295.1,1568287,35793.02
1/17/2017,2254.9,2287.8,2252.8,2280,2278.75,1504978,34270.02
1/16/2017,2250,2273.9,2228,2261.8,2258.55,1682404,37954.29
1/13/2017,2348,2357.95,2237.85,2250,2249.3,5117790,116517.77
1/12/2017,2324.4,2360,2304,2347,2344.35,1285187,30004.96
1/11/2017,2315,2329.6,2280.2,2325,2324.4,965648,22292.27
1/10/2017,2304,2329.8,2291.5,2314,2315.35,766957,17740.98
1/9/2017,2275,2311.3,2257,2308,2303.7,927289,21183.04
1/6/2017,2321,2329.35,2257.1,2284,2281.4,1504948,34425.89
1/5/2017,2384,2389.95,2320.4,2334,2334.4,1108202,26058.74
1/4/2017,2369.7,2388.85,2358.3,2377.95,2379.5,710033,16857.75
1/3/2017,2361.25,2371.7,2343.3,2361,2368.25,737662,17394.32
1/2/2017,2366.6,2375.1,2352.4,2360,2361.35,411566,9736.27
12/30/2016,2354.9,2378.6,2345.65,2366.55,2365.55,702874,16634.48
12/29/2016,2303,2359.9,2303,2355,2351.7,981758,23034.45
12/28/2016,2326.7,2349.9,2303.15,2305.25,2313.4,675209,15771.94
12/27/2016,2281.5,2330,2281.5,2322.8,2323.4,647346,15004.11
12/26/2016,2266,2301.6,2266,2296.85,2293.1,448704,10278.02
12/23/2016,2300,2317.75,2278.8,2285,2288.1,559477,12841.27
12/22/2016,2306,2325,2286.2,2315.6,2307.7,934150,21541.6
12/21/2016,2343.8,2343.8,2305.6,2312,2313.6,1017451,23589.59
12/20/2016,2292,2345,2287.05,2340,2339.3,1461380,33943.34
12/19/2016,2280,2297.7,2261.3,2285,2288.9,667105,15174
12/16/2016,2277,2290,2252,2284.8,2282.65,993615,22612.3
12/15/2016,2202,2272.1,2202,2256.5,2259.3,2147705,48484.14
12/14/2016,2214,2224.7,2189,2208.8,2207.6,935183,20641.59
12/13/2016,2218,2218,2183,2210.75,2200.3,1073767,23619.01
12/12/2016,2194.8,2217.6,2163,2210,2208.2,655879,14418.38
12/9/2016,2205,2219.9,2173.3,2193.6,2195.25,794359,17469.69
12/8/2016,2160.5,2199,2160,2195,2195.75,1619773,35404.55
12/7/2016,2182.2,2184.45,2145.65,2157.9,2154.55,1032853,22354.17
12/6/2016,2190,2203.95,2169.9,2170.85,2182.35,796722,17444.52
12/5/2016,2229,2237.85,2170,2188.5,2186,1124763,24632.16
12/2/2016,2258,2270.8,2205.2,2229,2221.85,999016,22313.66
12/1/2016,2277,2290,2254.05,2267,2263.45,561526,12751.01
11/30/2016,2265,2294.75,2242.3,2275,2276.05,1722916,39147.48
11/29/2016,2275,2292,2252.55,2263,2259.85,721148,16380.02
11/28/2016,2294,2319.45,2251.9,2275.05,2282.6,962148,21971.33
11/25/2016,2212,2307.25,2192.2,2299.8,2300.35,2138074,48582.38
11/24/2016,2154.9,2207.6,2137,2205,2188.45,1513117,33067.74
11/23/2016,2149,2162.95,2127.2,2158.5,2156.35,637904,13720.13
11/22/2016,2132,2177.45,2122.05,2142,2135,659430,14161.84
11/21/2016,2126.2,2140,2105,2130,2132.9,896683,19086.55
11/18/2016,2142,2150,2104.2,2126.2,2125.1,1070267,22722.15
11/17/2016,2185,2208.6,2130.15,2134.05,2137.2,1252344,27094.91
11/16/2016,2145.1,2208.9,2138,2187.65,2189.6,2009979,44008.63
11/15/2016,2116.9,2157.55,2051.9,2138.35,2121.3,3145162,66582.68
11/11/2016,2147.05,2147.05,2086.2,2120,2101.15,1199212,25306.23
11/10/2016,2204.8,2217.5,2140.8,2147.05,2155.45,1086213,23747.45
11/9/2016,2180,2275,2142.85,2185.8,2169.85,2250113,49248.85
11/8/2016,2280.45,2307,2260,2289.6,2283.2,966817,22058.48
11/7/2016,2337.9,2344.9,2260.05,2266,2277.05,1024026,23515.96
11/4/2016,2320,2336.15,2294,2330,2330.55,591876,13690.87
11/3/2016,2294,2335,2284.5,2320,2319.45,731655,16938.92
11/2/2016,2341,2344,2295,2298.75,2304.05,1162538,26913.31
11/1/2016,2399.7,2399.7,2334.15,2359.05,2350,1467388,34801.53
10/30/2016,2398.7,2408.95,2382,2390.05,2391.05,42676,1021.55
10/28/2016,2410,2415.1,2388,2398,2398.7,876051,21026.43
10/27/2016,2379.7,2429.5,2365.5,2401.1,2418.1,1470801,35268.1
10/26/2016,2398.6,2402.75,2372.5,2383,2396.25,718565,17157.89
10/25/2016,2405,2414.6,2381,2400,2398.45,886233,21278.66
10/24/2016,2428.2,2434.9,2402.55,2433,2427.7,626595,15163.51
10/21/2016,2400,2431.9,2398.25,2430,2428.65,629830,15241.92
10/20/2016,2396.9,2409.35,2386,2403,2401.15,632927,15183.12
10/19/2016,2401,2410,2370.3,2390,2395.1,992529,23700.39
10/18/2016,2376,2415.7,2354.8,2398.6,2400.2,1064316,25323.75
